id		description		product_type		netto_content		unit_of_measure		brutto_weight		length		depth		height		assortm_code
833327		WIJN V.H. VAT ROUGE		0200 Wijnen rood		1000		ML										2
834577		WIJN V.H. VAT BLANC DEMI SEC		0201 Wijnen wit		1000		ML										2
834607		WIJN V.H. VAT BLANC SEC		0201 Wijnen wit		1000		ML										2
858237		ALTE WEIN STUBE		0201 Wijnen wit		1000		ML										2
793761		APPERITIVO		0204 Port sherry vermouth		2000		ML										2
793762		MONTILLA MEDIUM DRY		0204 Port sherry vermouth		750		ML										4
793763		MONTILLA PALE DRY		0204 Port sherry vermouth		750		ML										4
394963		EIERSPECIALITEIT		0206 Likeur en vruchtenwijn		500		ML										2
191017		KEUKENZOUT		0091 Zout		1000		GR		1030		10		7		13		1
303620		ZEEZOUT GROF		0091 Zout		500		GR										2
303892		VACUUM ZOUT		0091 Zout		1000		GR		1023		11		4		22		1
309761		BEWUST  ZOUTNATRIUM-ARM		0091 Zout		90		GR										2
301027		KEUKENZOUT GROOT		0091 Zout		600		GR		650		7		7		14.5		1
318151		ZEEZOUT FIJN		0091 Zout		300		GR										2
714857		KEUKENZOUT KLEIN		0091 Zout		125		GR		142		4.5		4.5		9		1
796783		VAATWASZOUT		0243 Afwasmiddelen		2000		GR		2147		14.5		6.5		21.5		1
315466		STROOIZOUT		0280 Kleinvak		5000		GR										2
315465		STROOIZOUT		3500 Nonfood		25		KG										2
107977		WORST VD HOND KIP/RUND		0230 Hond nat		400		GR										4
319132		CURRY SAUS		0045 Natte sauzen koud		450		ML										2
319133		FRITES SAUS		0045 Natte sauzen koud		450		ML										2
349088		HALFVOLLE KOFFIEMELK		0180 Koffiemelk		186		ML										2
599429		PIZZA SALAMI		0370 Maaltijden		305		GR										1
599420		PIZZA SHOARMA		0370 Maaltijden		310		GR										2
599421		PIZZA MOZARELLA		0370 Maaltijden		340		GR										1
599936		PIZZA MARGHERITA		0370 Maaltijden		265		GR										1
307508		DESSERTGALETTEN		0152 Stuksartikelen Koek		20		ST										2
307509		LUIKSE WAFELS		0152 Stuksartikelen Koek		5		ST		287		16		11		10		1
307502		VANILLE GLACEWAFELS		0152 Stuksartikelen Koek		300		GR										
394562		KRUIDEN TIJM		0434 Groentenprodukten zacht		1		ST										1
394563		KRUIDEN SELDERIJ		0434 Groentenprodukten zacht		1		ST										1
394565		KRUIDEN MUNT		0434 Groentenprodukten zacht		1		ST										1
394573		KRUIDEN ROZEMARIJN		0434 Groentenprodukten zacht		1		ST										1
305174		KRUIDEN PETERSELIE		0434 Groentenprodukten zacht		1		ST										2
305175		KRUIDEN BIESLOOK		0434 Groentenprodukten zacht		1		ST										1
305176		KRUIDEN DILLE		0434 Groentenprodukten zacht		1		ST										2
305288		KRUIDEN KORIANDER		0434 Groentenprodukten zacht		1		ST										1
305289		KRUIDEN BASILICUM		0434 Groentenprodukten zacht		1		ST										1
319379		SPAGHETTI VOLKOREN		0035 Deegwaren		500		GR										2
319370		MACARONI VOLKOREN		0035 Deegwaren		500		GR		510		9		3.5		30		2
799950		SJAAL 4.95		0287 Textiel & beenmode		1		ST										2
799951		SJAAL 5.95		0287 Textiel & beenmode		1		ST										2
349180		MAYA DE BIJ HONING		0084 Honing		250		GR										2
599030		GESN EXTRA GERIJPT LACTOSEVRIJ		0381-Kaas gesneden verpakt		150		GR										1
