sku		primary		consumer_unit_ean
190787		0		1077049141584929
191017		0		1077049441675464
191237		0		1073335227998839
192157		0		1077058041575791
104547		0		1073334163539670
107977		0		1077044060672375
107337		0		1077044097579166
107337		0		1077044097570910
107337		0		1077044097579814
109277		0		1077044097578473
109277		0		1077044097579272
109277		0		1077044097570927
100967		0		1077044097579012
113740		0		1077046064589543
113766		0		1077044272182396
115492		0		1076835605666024
115949		0		1077044265659058
115038		0		1077046841134249
115038		-1		1077046841134218
118402		0		1077044015519038
118467		0		1074747867576176
118466		0		1078330638570549
119007		0		1077044196933876
119007		0		1077044196737276
399628		0		1077049458572411
296357		-1		1077761646906432
249607		0		1072348801159015
396502		0		1077044265654282
399628		0		1077049458572428
303501		0		1077049936538922
303503		0		1077049936538960
303506		0		1077049936538939
304119		0		1077049936538038
302997		0		1077042908246566
319152		0		1077044265654206
349782		0		1077045641810070
349783		0		1077045641810940
349702		0		1077045641810001
349238		0		1077045641810919
349239		0		1077045641810988
798351		-1		1077044193838006
797309		-1		1077044294679164
349335		0		1077045641815358
349336		0		1077045641815327
349348		0		1077045641802952
403864		0		1077046741469700
403865		0		1077046741469731
403866		0		1077046741794130
403878		0		1077049341981757
403879		0		1077045453974366
403871		0		1077044093878270
403872		0		1077040741445122
403874		0		1077040741446129
403875		0		1077057041372249
403876		0		1073335384655187
403988		0		1074334790846836
599212		0		1077041523577925
599213		0		1077334561266617
599214		0		1077334561243533
599215		0		1077334561255185
599216		0		1077335731004473
599227		0		1077334561259527
599228		0		1077334561258360
599229		0		1077334561241270
599220		0		1077334561248835
599221		0		1077334561241546
599222		0		1077334561247555
599223		0		1077334561240150
797241		0		1077044963797373
799639		0		1077046102363067
799831		0		1077046102307474
799866		0		1077048950521606
799877		0		1077048950521644
799211		0		1086643011524411
799211		0		1086643011524404
799212		0		1077044193864463
302562		0		1077924445837592
798232		0		1077044099593092
798883		0		1077044099593016
394001		0		1076947676625784
302562		0		1077046498721076
963488		0		1074234324679452
403989		-1		1077043362477770
349340		-1		1079334631980380
799223		-1		1073339541680340
799222		-1		1073339449438838
599236		-1		1072317222514949
599247		-1		1072317222514932
597672		-1		1077044402469175
993692		-1		1077044888675534
599458		-1		1077046741165176
597600		-1		1074334790959260
599234		-1		1074334790958638
599235		-1		1077047141555000
599225		-1		1072307322521725
599233		-1		1072307322529011
803474		-1		1077040088464626
543015		0		1071500921575675
543015		-1		1077042867247307
349340		0		1078336031792274
403989		0		1077043332477779
597600		0		1074334790959253
597672		0		1077044402569172
599458		0		1077334561242093
599225		0		1072307322521879
599233		0		1072307322529035
599235		0		1077047141792122
599236		0		1072317222514130
376247		-1		1077044007731493
349839		-1		1077044936412876
349838		-1		1077044936412890
349131		-1		1077044936412739
344489		-1		1077044936412838
343858		-1		1077044936412630
343852		-1		1077044936412715
343851		-1		1077044936412777
343859		-1		1077044936412654
343850		-1		1077044936412814
343853		-1		1077044936412753
797372		-1		1077047941914168
376247		0		1077044007731417
797372		0		1077047941514160
803118		0		1077040766840384
349352		-1		1077044265653117
599249		-1		1077044265654114
599240		-1		1077046741222961
599241		-1		1077046741222008
233667		-1		1077044086581576
233657		-1		1077044086581453
798472		-1		1077044265644061
599242		-1		1074745729684663
599243		-1		1074745729677474
803070		-1		1079334661717666
297437		-1		1073651016568855
297437		0		1077047655905544
233657		0		1077044086581460
233667		0		1077044086581583
394762		0		1077044265634970
303500		0		1077049936538908
304978		0		1077041920551689
319155		0		1077044265634857
319280		0		1073333717929516
343852		0		1077044936412708
343853		0		1077044936412746
947924		-1		1077048982550278
947923		-1		1077048982559790
267567		0		1073332060545329
394541		0		1077044265654367
799224		-1		1077044005697098
349351		-1		1074323414574439
349358		-1		1077045541579220
349346		-1		1077052141464597
403981		-1		1077044265665509
349343		-1		1077044265643026
349359		-1		1076947673392689
349350		-1		1076947672269906
303142		0		1076674648475008
593633		-1		1073380727593664
