group		temperature_zone
0010 Suikerprodukten		ambient
0011 Zoetstoffen		ambient
0020 Filter koffie		ambient
0021 Oploskoffie & koffiestr.		ambient
0022 Filterzakjes		ambient
0023 Thee		ambient
0025 Cacaopoeder & instant		ambient
0026 Koffiepads		ambient
0027 Koffiebonen		ambient
0028 Koffiecapsules		ambient
0030 Bloem, bakmeel, bakmix		ambient
0031 Zetmeel bindmiddelen		ambient
0032 Pudding dessert		ambient
0033 Bakingredienten & toebeh.		ambient
0034 Rijst		ambient
0035 Deegwaren		ambient
0037 Houdbare maaltijden		ambient
0038 Zuidvruchten		ambient
0040 Olien en frituurvetten		ambient
0041 Azijn & dressing		ambient
0042 Tafelzuren		ambient
0043 Natte sauzen warm		ambient
0044 Droge sauzen warm		ambient
0045 Natte sauzen koud		ambient
0046 Droge sauzen koud		ambient
0047 Droge maaltijdmixen		ambient
0050 Droge kooksoep		ambient
0051 Vloeibare kooksoep		ambient
0052 Portie instant soep		ambient
0054 Bouillon en ingredienten		ambient
0060 Margarine		chilled
0061 Halvarine		chilled
0062 Bakvetten		chilled
0063 Roomboter		chilled
0071 Broodvervangers		ambient
0072 Beschuit		ambient
0073 Roggebrood		ambient
0074 Ontbijtkoek		ambient
0075 Ontbijtgranen		ambient
0076 Houdbaar brood		ambient
0081 Jam		ambient
0082 Stroopachtigen		ambient
0083 Pindakaas		ambient
0084 Honing		ambient
0085 Chocolade- & pasta's		ambient
0086 Boterhamstrooisels		ambient
0087 Spreads		ambient
0090-Kruiden & specerijen		ambient
0091 Zout		ambient
0092 Oosterse specialiteiten		ambient
0101 Vleesconserven & ragouts		ambient
0102 Rookworst		ambient
0103 Pasteibakjes		ambient
0104 Visconserven		ambient
0110 Groenten in blik		ambient
0111 Groenten in glas		ambient
0112 Groenten gedroogd		ambient
0113 Appelmoes		ambient
0114 Peulvruchten		ambient
0120 Vruchtenconserven		ambient
0121 Vlaaivullingen		ambient
0130 Dieet en slimming		ambient
0132 Reform		ambient
0140 Kindermeel		ambient
0141 Melkvervangers		ambient
0142 Vitaminedranken		ambient
0143 Baby- EN kindervoeding		ambient
