sku		weight		length		depth		height 		trade_unit_ean		location		consumer_units_in_trade_unit
195498		0		0		0		90		1077045841601911		1005		16
195498		2.1		232		211		171		1077056341096084		1005		20
195307		0.88		96		239		139		1077045741616824		0324		20
195307		1.1		96		274		136		1077046741695062		0324		23
199487		0		0		0		0		1077924445489708		99		12
199488		0		0		0		0		1077046498571923		99		12
199480		0		0		0		0		1077046498571091		99		12
199481		0		0		0		0		1077924445489807		99		12
199482		0		0		0		0		1077046498571084		99		12
199482		11.4		360		280		150		1077046498445040		99		12
199483		0		0		0		0		1077924445489890		99		12
199485		0		0		0		0		1077046498576317		99		12
199486		0		0		0		0		1077046498576355		99		12
199497		0		0		0		0		1077046498576409		99		12
199498		0		0		0		0		1077046498632679		99		24
199498		3.24		265		175		120		1077046498447907		99		12
199499		0		0		0		0		1077046498576454		99		24
199499		5.6		305		230		120		1077046498447891		99		12
199490		0		0		0		0		1077046498578601		99		24
199490		5.6		305		230		120		1077046498445057		99		12
199494		0		0		0		0		1077046498571978		99		12
199495		0		0		0		0		1077046498630897		99		12
199407		0		0		0		0		1077924445985125		99		12
199408		0		0		0		0		1077046498639593		99		12
199409		0		0		0		0		1077924445986665		99		12
199401		0		0		0		0		1077046498577871		99		15
199402		0		0		0		0		1077046498577888		99		15
199403		0		0		0		0		1077046498577895		99		15
199404		0		0		0		0		1077046498577802		99		15
199405		0		0		0		0		1077046498577819		99		15
199406		0		0		0		0		1077046498577826		99		15
199417		0		0		0		0		1077046498577833		99		15
199418		0		0		0		0		1077046498577840		99		15
199419		0		0		0		0		1077046498577864		99		15
199414		0		0		0		0		1077046498579714		99		12
199414		0		0		0		0		1077046498579707		99		12
193454		0		0		0		0		1077044265523717		0000		1
193454		0		0		0		0		1079334641575675		0000		1
193465		0		0		0		250		1079334641575675		0000		1
193465		0		0		0		0		1079334641575675		0000		1
193465		0		0		0		0		1077048189688675		0000		1
193593		0		1		1		1		1079334641576735		06-002		1
193797		0.408		196		43		138		1074345962319898		0509		6
193827		4.5		142		211		221		1037744651749920		06-002		6
199415		0		0		0		0		1077046498579783		99		12
199415		0		0		0		0		1077046498579776		99		12
199427		0		0		0		0		1077046498573439		99		12
199429		0		0		0		0		1077046498573446		99		12
199420		0		0		0		0		1077046498571558		99		12
199421		0		0		0		0		1077046498570872		99		24
199438		0		0		0		0		1077046498576881		99		24
199438		0		0		0		0		1077046498576874		99		24
199439		0		0		0		0		1077046498718571		99		20
199430		0		0		0		0		1077046498573217		99		12
199431		0		0		0		0		1077046498574795		99		12
199432		0		0		0		0		1077046498659690		99		12
199442		0		0		0		0		1077046498369636		99		16
199444		0		0		0		0		1077046498750113		99		24
199445		0		0		0		0		1077046498550478		99		24
199446		0		0		0		0		1077046498574962		99		24
199458		0		0		0		0		1079334641575675		99		16
199458		0		0		0		0		1077046498570322		99		10
190787		8.563		377		211		191		1077049141584929		06-002		20
191017		12.2		400		200		130		1077049441675464		2903		12
191237		2.3		147		395		153		1079334641575675		37-005		16
191237		2.3		400		145		155		1073335227998839		37-005		10
192157		6.565		445		290		115		1077058041575791		2002		12
104547		2.2		590		390		280		1073334163539670		4303		18
107977		6.193		255		255		190		1077044060672375		06-002		15
107337		0		415		155		95		1077044097579166		99		10
107337		0		100		100		100		1077044097570910		99		9
107337		0		0		0		0		1077044097579814		99		10
109277		0		0		0		0		1077044097578473		99		10
109277		0		415		155		95		1077044097579272		99		10
109277		0		415		155		95		1077044097570927		99		9
100967		0		100		100		100		1077044097579012		99		12
113740		0		467		320		205		1077046064589543		99		24
113766		0		160		240		320		1077044272182396		99		6
115492		14.7		399		271		255		1076835605666024		0503		4
115949		0.8		163		234		133		1077044265659058		2208		12
115038		0		0		0		0		1077046841134249		99		6
115038		0		0		0		0		1077046841134218		99		1
118402		3.7		405		130		200		1077044015519038		06-002		9
118467		0		325		225		82		1074747867576176		1310		12
118466		7.67		160		230		340		1078330638570549		1501		6
119007		0		400		150		137		1077044196933876		99		12
119007		0		400		150		137		1077044196940973		99		12
124492		2.6		600		400		278		1077044939075955		3301		12
139104		8		450		250		150		1077048225575280		99		1
139104		8		450		250		150		1077048225575136		99		8
149566		4.689		199		397		162		1077044402567352		99		12
149327		1.96		365		135		185		1077046741473646		06-002		6
153971		9.98		390		191		293		1077045341123296		0001		12
155367		8.9		510		340		180		1077058841686789		06-002		20
155367		9		165		300		310		1077058841686796		06-002		12
151807		1.58		390		150		70		1072341262396234		50-202		5
152257		3.8		390		300		145		1077334141676324		49-007		32
163037		3		325		211		212		1076956941249785		06-002		24
163324		7.6		230		154		312		1076024303675470		06-002		6
164867		9.6		395		260		112		1072341265519630		2002		15
164867		7.5		250		250		108		1079334641575675		2002		12
164867		7.5		250		250		108		1084239049598603		2002		9
164867		0		0		0		0		1079334641575675		2002		33
174483		0		0		0		0		1077041165886331		ADM		1
174483		0		0		0		0		1079334641575675		ADM		1
174605		6.48		600		400		110		1077047688682177		2101		1
174627		2.1		270		265		118		1077058041575913		2111		12
170487		0		185		115		322		1074234324679513		99		4
172207		1.962		185		142		149		1079345851681377		1307		12
172267		0		0		0		0		1077045741676620		1008		6
172267		3.24		280		158		80		1074348139843417		1008		12
184367		3.41		217		147		118		1024322373575353		0820		6
182537		0		399		261		105		1077044080489571		99		8
182537		0		399		261		105		1077044080483005		99		8
293627		0		0		0		0		1077044255375685		999999		1
293637		0.4		400		300		225		1077112429353453		0001		1
293638		5.38		395		200		223		1074234592716699		06-002		5
293663		0		400		300		265		1077040341594398		0001		1
293287		0		0		0		0		1077044265080616		99		6
293287		0		0		0		0		1077044265080609		99		1
293247		0		0		0		0		1079334641575675		99		20
294797		0		0		0		0		1077048982541542		99		1
294797		0		0		0		0		1077048982541559		99		20
294714		0		0		0		0		1077048982512467		99		1
294714		0		0		0		0		1077048982538443		99		1
294714		0		0		0		0		1077048982544413		99		50
294714		0		0		0		0		1077048982556607		99		50
294714		0		0		0		0		1077048982556690		99		1
294307		0		0		0		0		1079334641575675		1202		10
294307		0		0		0		0		1077046565460600		1202		20
294307		0		0		0		0		1077046565465926		1202		20
295557		0		0		0		0		1077040283577008		1012		5
295557		0		0		0		0		1077040283592797		1012		1
295557		0		0		0		0		1077042908235010		1012		4
295557		0		0		0		0		1077042908235027		1012		4
295157		0		0		0		0		1079334641677346		0733		10
295157		0		0		0		0		1077041416586829		0733		6
295157		0		0		0		0		1079334641677345		0733		2
295157		0		0		0		0		1077047655826771		0733		6
295227		0		0		0		0		1077047655587849		1503		8
295227		0		0		0		0		1077040766581553		1503		6
