	own_sku	ean_list	content	content_unit	description	temperature_zone	shelf_life	volume_mm3	brutto_weight	brutto_weight_unit
0	GRrA	{1077044043625459, 1077044550176635, 1077044550676630, 1077044550674711}	1077044550176635	0303-Deodorant	DEOSPRAY NATUURLIJK FRIS	ambient	0	354375.0	133	ML
1	jBQz	{1073332060537560, 1073332060557674, 1073332060545404, 1073332060546685}	1073332060537560	0232 Kat nat	ALU KIP & KALKOEN IN PAT╔	ambient	0	242250.0	107	GR
2	jBQz	{1073332060537560, 1073332060557674, 1073332060545404, 1073332060546685}	1073332060545404	0232 Kat nat	ALU KIP & KALKOEN IN PAT╔	ambient	0	242250.0	107	GR
3	wbVy	{1077046741113603, 1077046741446381}	1077046741446381	0092 Oosterse specialiteiten	ATJAR TJAMPOER	ambient	0	759500.0	576	GR
4	3vaB	{1077056841427036, 1079334628797557}	1077056841427036	0194 Frisdranken klein	HIGH ENERGY + SPORTDOP PET	ambient	0	739375.0	377	ML
5	9m9Z	{1077044144577138, 1077044144525054, 1087044144577135}	1077044144525054	0143 Baby- EN kindervoeding	BISCUITS  TWEEDE STAP	ambient	0	1210000.0	216.0	GR
6	9m9Z	{1077044144577138, 1077044144525054, 1087044144577135}	1077044144577138	0143 Baby- EN kindervoeding	BISCUITS  TWEEDE STAP	ambient	0	1210000.0	216.0	GR
7	9m9Z	{1077044144577138, 1077044144525054, 1087044144577135}	1087044144577135	0143 Baby- EN kindervoeding	BISCUITS  TWEEDE STAP	ambient	0	1210000.0	216.0	GR
8	YWBw	{1084744682658770, 1074744682658773, 1077044144526631}	1077044144526631	0143 Baby- EN kindervoeding	BISCUITS DERDE STAP	ambient	0	1210000.0	226.0	GR
9	YWBw	{1084744682658770, 1074744682658773, 1077044144526631}	1084744682658770	0143 Baby- EN kindervoeding	BISCUITS DERDE STAP	ambient	0	1210000.0	226.0	GR
